"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"25252500"	"COMPANIA DE ASIGURARI-REASIGURARI EXIM ROMANIA (CARE-ROMANIA) SA"	"213334"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24814952"	"INSOFT DEVELOPMENT & CONSULTING SRL"	"797009"	"89247"	"0"	"1764333"	"103149"	"0"	"88504"	"5086"	"0"	"769233"	"55326"	"0"
"24716423"	"VLASE DISTRIBUTION SRL"	"1775741"	"516500"	"0"	"595384"	"215286"	"0"	"27920"	"8893"	"0"	"262159"	"80198"	"0"
"24746521"	"AGER FRUIT SRL"	"8557545"	"2379809"	"0"	"15507"	"464"	"0"	"738"	"18"	"0"	"6759"	"204"	"0"
"27197690"	"MAZZA CONSTRUCT SRL"	"73822"	"4554"	"0"	"33200"	"4601"	"0"	"1534"	"208"	"0"	"13982"	"1899"	"0"
"25870756"	"PHARMNET PLUS SRL"	"896009"	"0"	"0"	"17776"	"0"	"0"	"848"	"0"	"0"	"7773"	"0"	"0"
"25876538"	"VLASE  INTERNATIONAL SRL"	"109525"	"17796"	"0"	"1532058"	"36025"	"0"	"70058"	"1387"	"0"	"623590"	"11179"	"0"
"26425137"	"REGIO SHIPPING & TRADE SRL"	"163146"	"0"	"0"	"402476"	"0"	"0"	"18944"	"0"	"0"	"170472"	"0"	"0"
"26009127"	"ROMENERGY INDUSTRY SRL"	"5058882"	"249387"	"0"	"70818"	"3435"	"0"	"2808"	"172"	"0"	"35849"	"1816"	"0"
"28174996"	"TAIRA YAMAMOTO TRADING S.A."	"910527"	"0"	"0"	"1304"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
