"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"17827216"	"HR TOOLS MARKETING & SERVICES SRL"	"42278"	"622"	"0"	"19223"	"37"	"0"	"918"	"1"	"0"	"8691"	"15"	"0"
"17827267"	"A.B.A.D. VET. SRL"	"15506"	"196"	"0"	"41146"	"453"	"0"	"1938"	"18"	"0"	"16421"	"171"	"0"
"17712100"	"ANIMPROD S.R.L."	"226063"	"20691"	"0"	"36513"	"3409"	"0"	"1720"	"154"	"0"	"15823"	"1328"	"0"
"17712119"	"B.G.B. PRODCOM S.R.L."	"197263"	"14618"	"0"	"20070"	"1444"	"0"	"937"	"61"	"0"	"8598"	"601"	"0"
"17606428"	"AXA SECURITY SRL"	"1685981"	"85407"	"0"	"877652"	"48473"	"0"	"40040"	"2206"	"0"	"361863"	"20208"	"0"
"17832263"	"GLOBUS EUROGLASS S.R.L."	"123757"	"166"	"0"	"25040"	"86"	"0"	"1185"	"0"	"0"	"10933"	"156"	"0"
"17924065"	"CHEMPRO CHEMICALS SRL"	"35874"	"1909"	"0"	"82036"	"3000"	"0"	"3486"	"134"	"0"	"33343"	"1241"	"0"
"17930652"	"MAROCO INTERNATIONAL SRL"	"50812"	"25430"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17938583"	"CASA FRUMOASĂ STORES SRL"	"64330"	"0"	"0"	"247"	"0"	"0"	"10"	"0"	"0"	"106"	"0"	"0"
"17942673"	"EUROBYOTA CONSTRUCT S.R.L."	"72616"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17730816"	"REGIA PUBLICA LOCALA A PADURILOR KRONSTADT RA"	"459073"	"198765"	"0"	"38"	"98"	"0"	"3"	"2"	"0"	"28"	"31"	"0"
"17943610"	"ANIC MARKET SRL"	"196978"	"0"	"0"	"2241"	"0"	"0"	"93"	"0"	"0"	"975"	"0"	"0"
"17739254"	"GAMEX INTER SRL"	"673549"	"0"	"0"	"16314"	"0"	"0"	"756"	"0"	"0"	"6403"	"0"	"0"
"17636135"	"TERRAFORM SRL"	"123880"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17863308"	"PITO TRANS S.R.L."	"187361"	"0"	"0"	"79776"	"0"	"0"	"3965"	"0"	"0"	"34737"	"0"	"0"
"17956636"	"FLARO PROD SA"	"103527"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17638616"	"IOSIMAR SRL"	"228416"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17867407"	"NET SHAPE SRL"	"174525"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17867911"	"AUSTRODACH PROFILE SRL"	"244751"	"389"	"0"	"52416"	"459"	"0"	"2458"	"18"	"0"	"22783"	"168"	"0"
"17869416"	"LION INVESTITII S.R.L."	"165448"	"0"	"0"	"11944"	"0"	"0"	"558"	"0"	"0"	"4954"	"0"	"0"
"17961560"	"CONFIDANT SERVICE SRL"	"0"	"93816"	"93816"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17646562"	"GEMIC S.R.L."	"304786"	"156725"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17876839"	"AFFICHE MEDIA SRL"	"94781"	"0"	"0"	"381"	"20"	"0"	"19"	"0"	"0"	"167"	"8"	"0"
"17652122"	"COSTNIC AGRIPREST S.R.L."	"57551"	"1"	"0"	"4385"	"3"	"0"	"205"	"0"	"0"	"15080"	"0"	"0"
"17876910"	"DADYCOM SRL"	"228496"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17977582"	"ADY GOLDEN PROD S.R.L."	"4302027"	"2236617"	"0"	"5780"	"319"	"0"	"237"	"4"	"0"	"2393"	"143"	"0"
"17979486"	"ESTAGROTEH S.R.L."	"45316"	"1608"	"0"	"61654"	"2786"	"0"	"2907"	"125"	"0"	"25882"	"1138"	"0"
"17981990"	"DUALTECH MOBILE SRL"	"1871839"	"611509"	"2430071"	"600"	"7"	"0"	"29"	"0"	"0"	"262"	"3"	"0"
"17781410"	"FLAVO COLOR S.R.L."	"28310"	"26131"	"0"	"105"	"24"	"0"	"6"	"0"	"0"	"56"	"0"	"0"
"17667808"	"CONCRET CONSTRUCT VALCRIS S.R.L."	"97392"	"699"	"0"	"23268"	"791"	"0"	"1062"	"35"	"0"	"9136"	"317"	"0"
"17668650"	"CONSTRUCT ALEX S.R.L."	"90679"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17670277"	"POSZET SRL"	"117300"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17674112"	"FORTEX FOOD DISTRIBUTION S.R.L."	"100859"	"576"	"0"	"84826"	"738"	"0"	"3793"	"34"	"0"	"33497"	"290"	"0"
"17897009"	"ORIENT HYPERCONSTRUCT S.R.L."	"73865"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17782157"	"ACCENT - K INTERACTIV S.R.L."	"6"	"89916"	"0"	"2020"	"22789"	"0"	"79"	"1744"	"0"	"880"	"10136"	"0"
"18950305"	"SECUI-COM SRL"	"21105"	"22181"	"0"	"11625"	"171"	"0"	"544"	"8"	"0"	"4905"	"62"	"0"
"19222008"	"RER - DATA SERVICE S.R.L."	"73319"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19222644"	"GALASSINI GROUP SRL"	"25568"	"32"	"0"	"18752"	"0"	"0"	"524"	"0"	"0"	"7974"	"0"	"0"
"19222725"	"ECO WOOD SRL"	"68616"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19227420"	"TECNO MMG COM SRL"	"29453"	"15"	"0"	"21354"	"8"	"0"	"962"	"0"	"0"	"9318"	"2"	"0"
"19233201"	"EURO - FLOWERS M&B SRL"	"49525"	"5204"	"0"	"0"	"233"	"0"	"0"	"3"	"0"	"0"	"93"	"0"
"19036412"	"ANDRADA STIL SRL"	"19329"	"1888"	"0"	"41594"	"908"	"0"	"1682"	"40"	"0"	"15230"	"353"	"0"
"19038642"	"CORI BLUE SRL"	"357863"	"173"	"0"	"21480"	"1705"	"0"	"782"	"97"	"0"	"6853"	"507"	"0"
"19237238"	"ISIS DEVELOPMENT SRL"	"36152"	"242"	"0"	"54743"	"0"	"0"	"2586"	"0"	"0"	"23870"	"0"	"0"
"18953794"	"DIOMENDES SRL"	"328679"	"10051"	"0"	"13497"	"1972"	"0"	"625"	"79"	"0"	"5633"	"782"	"0"
"18873652"	"LONG PROJECT S.A."	"75181"	"0"	"0"	"8452"	"0"	"0"	"397"	"0"	"0"	"3620"	"0"	"0"
"19062454"	"KARELIA - UPOFLOOR SRL"	"202966"	"0"	"0"	"542844"	"0"	"0"	"18870"	"0"	"0"	"161905"	"0"	"0"
"19142499"	"V&S LACTOLAND COMPANY SRL"	"93510"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19142588"	"PARTNER TOUR SRL"	"288520"	"80663"	"0"	"29947"	"14153"	"0"	"852"	"274"	"0"	"10849"	"5021"	"0"
"18878889"	"TOTAL SERVICE PETRUTA S.R.L."	"229584"	"57466"	"0"	"50958"	"13584"	"0"	"2139"	"579"	"0"	"18948"	"4982"	"0"
"19068945"	"POWER DYNAMIC TECHNOLOGY SRL"	"32288"	"3070"	"0"	"14130"	"1527"	"0"	"661"	"81"	"0"	"5704"	"646"	"0"
"19146393"	"ULTRA REICH TRUST SRL"	"76859"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19146679"	"AGRICULTURE CAPITAL AND ENGINEERING S.R.L."	"33646"	"4947"	"0"	"16769"	"777"	"0"	"794"	"32"	"0"	"7096"	"304"	"0"
"19146938"	"OKAPI SRL"	"5862967"	"3141729"	"8656489"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"18884147"	"PLATINUM STAR SRL"	"186984"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19075454"	"OANA MANAGEMENT SRL"	"363690168"	"91076906"	"0"	"37333"	"67194"	"0"	"1503"	"2635"	"0"	"13151"	"24444"	"0"
"19078540"	"BELLA INTERNATIONAL SRL"	"890990"	"99859"	"0"	"88300"	"9813"	"0"	"3552"	"396"	"0"	"32854"	"3676"	"0"
